HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
73634,0.089,0.031,4883,40,2.724,0.103,49.4164783715,3.0780552757,field,73634,1.2034,1.0738,1.3172,2.0285,1.9375,2.1621,2.7525,2.7094,2.7975,9.7472,9.4284,10.0621,-2.6746,-2.7306,-2.6173,2.724,2.7525
74793,-0.015,0.043,4337,96,2.095,0.291,224.15539069,12.307448182,host,74793,1.5648,1.0313,2.8074,1.7785,1.4752,2.0918,1.8369,1.7269,1.9371,26.062,24.8267,27.3707,-4.0186,-4.1451,-3.9003,2.095,1.8369
75049,-0.263,0.024,4779,29,2.426,0.092,49.1400978997,3.8595038782,host,75049,9.6143,6.3001,12.3833,0.9505,0.8959,1.0693,2.361,2.3432,2.3912,10.4539,10.2405,10.676,-3.0946,-3.1154,-3.0741,2.426,2.361
75458,0.194,0.044,4628,86,2.807,0.21,58.1963589016,1.7462627281,host,75458,2.2423,1.6336,3.1766,1.6529,1.4817,1.8413,2.5309,2.4681,2.5903,11.268,11.031,11.7169,-2.9607,-3.0347,-2.8938,2.807,2.5309
76311,0.314,0.053,4646,100,2.593,0.235,70.6275647266,5.4157733332,host,76311,1.3775,0.6836,2.4115,2.0412,1.6549,2.6345,2.5323,2.4166,2.6807,12.4685,11.8169,13.1989,-3.0008,-3.136,-2.8371,2.593,2.5323
76534,-0.404,0.016,5029,18,3.092,0.037,21.9694184526,0.8467711874,field,76534,2.0069,1.7872,2.2585,1.4829,1.4331,1.5349,3.0335,3.0136,3.0525,6.0115,5.8969,6.1271,-2.184,-2.2101,-2.1588,3.092,3.0335
77578,-0.109,0.04,4903,49,2.661,0.102,62.0071628683,3.4330280134,host,77578,1.5006,1.2506,1.8917,1.7715,1.6236,1.9421,2.6084,2.5466,2.665,10.7716,10.4274,11.0169,-2.8617,-2.9349,-2.7948,2.661,2.6084
77655,0.137,0.026,4883,42,3.256,0.096,12.219144759,0.3913831327,host,77655,2.8342,2.3071,3.5821,1.4995,1.4068,1.588,3.2272,3.1874,3.2644,4.8339,4.7317,4.9376,-1.896,-1.9433,-1.8511,3.256,3.2272
77853,-0.209,0.029,4844,36,2.565,0.087,65.776825113,2.1835513221,field,77853,2.3457,1.8583,3.0543,1.4885,1.3689,1.6073,2.4992,2.4579,2.5379,11.1245,10.9536,11.3256,-2.9858,-3.0313,-2.9443,2.565,2.4992
78159,-0.14,0.029,4464,54,2.062,0.177,141.580995263,5.7942466678,host,78159,2.0884,1.5287,2.9745,1.5644,1.41,1.7223,2.0254,1.9635,2.0853,19.6795,19.0935,20.2886,-3.7076,-3.7798,-3.6368,2.062,2.0254
79043,0.007,0.064,5238,76,3.291,0.154,120.719147808,15.3845799932,field,79043,0.3511,0.342,0.3655,2.9901,2.9297,3.0379,2.8369,2.8255,2.8574,10.7004,10.3671,10.8899,-2.6312,-2.6499,-2.5974,3.291,2.8369
80894,0.208,0.044,5150,52,2.942,0.122,104.825340242,4.8570800621,field,80894,0.2862,0.2759,0.2969,3.3226,3.2719,3.3701,2.7426,2.7222,2.7629,12.5264,12.2193,12.956,-2.7935,-2.8288,-2.7634,2.942,2.7426
81660,-0.05,0.046,4589,74,1.966,0.176,756.74495356,62.1837751548,field,81660,0.1334,0.1168,0.158,4.4627,4.2337,4.6569,1.8161,1.7651,1.8597,42.3714,40.2592,44.5734,-4.2505,-4.3214,-4.1854,1.966,1.8161
81833,-0.077,0.026,5105,30,2.978,0.075,44.6748200833,1.3517973844,field,81833,0.7289,0.6697,0.8086,2.2752,2.213,2.3314,2.9025,2.8869,2.9152,8.6562,8.5264,8.7898,-2.4741,-2.4939,-2.4561,2.978,2.9025
85670,0.04,0.086,5428,100,2.675,0.308,937.230109421,35.1334272595,field,85670,0.1322,0.1275,0.1376,4.4556,4.3785,4.5316,1.9516,1.931,1.9697,36.1963,35.3588,37.145,-4.0461,-4.0771,-4.0178,2.675,1.9516
