HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP92950,175453.0,,,,,,,,,,EPIC
HIP92994,175526.0,,,,,,,,,,EPIC
HIP93288,176203.0,,,,,,,,,,EPIC
HIP93339,176336.0,,,,,,,,,,EPIC
HIP93392,176419.0,4978.0,214.0,153.0,2.677,0.621,0.345,-0.264,0.3,0.54,EPIC
HIP93405,176473.0,,,,,,,,,,EPIC
HIP93464,176680.0,,,,,,,,,,EPIC
HIP93661,177166.0,6113.0,290.0,193.0,4.294,0.1,0.18,-0.019,0.12,0.3,EPIC
HIP93683,177241.0,,,,,,,,,,EPIC
HIP93819,177609.0,,,,,,,,,,EPIC
HIP93877,177736.0,,,,,,,,,,EPIC
HIP93923,177823.0,,,,,,,,,,EPIC
HIP93982,178049.0,,,,,,,,,,EPIC
HIP94041,178250.0,5083.0,374.0,208.0,3.527,0.275,0.275,-0.136,0.2,0.28,EPIC
HIP94059,178251.0,4681.0,131.0,93.0,2.652,0.195,0.195,-0.147,0.2,0.24,EPIC
HIP94108,178321.0,,,,,,,,,,EPIC
HIP94115,178438.0,,,,,,,,,,EPIC
HIP94144,178555.0,4688.0,221.0,110.0,2.806,0.36,0.18,-0.124,0.16,0.24,EPIC
HIP94261,178814.0,,,,,,,,,,EPIC
HIP94320,179086.0,,,,,,,,,,EPIC
HIP94345,179177.0,6330.0,224.0,149.0,3.778,0.088,0.055,0.059,0.12,0.12,EPIC
HIP94473,179452.0,4374.0,92.0,73.0,1.749,0.26,0.52,-0.254,0.3,0.36,EPIC
HIP94534,179722.0,,,,,,,,,,EPIC
HIP94699,180091.0,,,,,,,,,,EPIC
HIP94845,180631.0,,,,,,,,,,EPIC
HIP94964,181007.0,,,,,,,,,,EPIC
HIP95124,181342.0,4946.0,148.0,119.0,3.309,0.265,0.318,-0.234,0.24,0.36,EPIC
HIP95215,181698.0,,,,,,,,,,EPIC
HIP95233,181786.0,,,,,,,,,,EPIC
HIP95386,182120.0,,,,,,,,,,EPIC
HIP95458,182390.0,,,,,,,,,,EPIC
HIP95746,183089.0,,,,,,,,,,EPIC
HIP95865,183275.0,4932.0,215.0,78.0,3.405,0.26,0.156,-0.121,0.18,0.27,EPIC
HIP95942,183499.0,,,,,,,,,,EPIC
HIP96094,183782.0,,,,,,,,,,EPIC
HIP96494,184778.0,6298.0,265.0,189.0,3.93,0.08,0.096,-0.001,0.15,0.12,EPIC
HIP96760,185467.0,4832.0,57.0,76.0,2.872,0.384,0.096,-0.253,0.27,0.09,EPIC
HIP96838,185678.0,,,,,,,,,,EPIC
HIP108265,208354.0,,,,,,,,,,EPIC
HIP108462,208721.0,,,,,,,,,,EPIC
HIP108619,208965.0,5389.0,266.0,266.0,3.703,0.105,0.189,-0.212,0.25,0.55,EPIC
HIP108722,209131.0,,,,,,,,,,EPIC
HIP109140,209820.0,,,,,,,,,,EPIC
HIP109236,210030.0,,,,,,,,,,EPIC
HIP109290,210123.0,,,,,,,,,,EPIC
HIP109369,210269.0,,,,,,,,,,EPIC
HIP109390,210295.0,4922.0,100.0,100.0,2.539,0.476,0.34,-0.883,0.4,0.4,EPIC
HIP109392,210297.0,,,,,,,,,,EPIC
HIP109430,210357.0,4667.0,111.0,111.0,2.634,0.343,0.245,-0.066,0.2,0.2,EPIC
HIP109446,210409.0,4793.0,116.0,116.0,2.594,0.21,0.21,-0.058,0.16,0.32,EPIC
HIP109460,210422.0,,,,,,,,,,EPIC
HIP109722,210878.0,5493.0,167.0,134.0,3.726,0.085,0.119,-0.057,0.24,0.2,EPIC
HIP109811,211021.0,,,,,,,,,,EPIC
HIP109836,211080.0,5074.0,81.0,50.0,3.757,0.02,0.06,0.083,0.05,0.12,EPIC
HIP109970,211289.0,4769.0,116.0,116.0,2.646,0.195,0.234,-0.058,0.16,0.28,EPIC
HIP109998,211360.0,,,,,,,,,,EPIC
HIP110009,211392.0,,,,,,,,,,EPIC
HIP110046,211436.0,,,,,,,,,,EPIC
HIP110054,211463.0,,,,,,,,,,EPIC
HIP110131,211595.0,,,,,,,,,,EPIC
HIP110169,211674.0,4856.0,98.0,98.0,2.76,0.11,0.352,-0.051,0.12,0.42,EPIC
HIP110179,211676.0,,,,,,,,,,EPIC
HIP110208,211748.0,,,,,,,,,,EPIC
HIP110278,211841.0,,,,,,,,,,EPIC
HIP110454,212142.0,5638.0,398.0,331.0,3.737,0.102,0.153,-0.039,0.15,0.24,EPIC
HIP110471,212204.0,,,,,,,,,,EPIC
HIP110701,212587.0,,,,,,,,,,EPIC
HIP110723,212627.0,5288.0,135.0,203.0,2.473,0.266,0.035,-0.937,0.75,0.25,EPIC
HIP110813,212771.0,4955.0,59.0,59.0,3.034,0.102,0.102,-0.412,0.09,0.24,EPIC
HIP110961,213031.0,,,,,,,,,,EPIC
HIP111044,213181.0,,,,,,,,,,EPIC
HIP111100,213251.0,,,,,,,,,,EPIC
HIP111234,213510.0,,,,,,,,,,EPIC
HIP111312,213612.0,5139.0,222.0,127.0,3.611,0.11,0.132,-0.341,0.36,0.36,EPIC
HIP111333,213652.0,4707.0,93.0,93.0,2.467,0.16,0.1,-0.073,0.15,0.18,EPIC
HIP111364,213723.0,4753.0,96.0,76.0,2.414,0.165,0.264,-0.388,0.3,0.6,EPIC
HIP111451,213897.0,,,,,,,,,,EPIC
HIP111545,214078.0,,,,,,,,,,EPIC
HIP111661,214270.0,,,,,,,,,,EPIC
HIP111691,214321.0,,,,,,,,,,EPIC
HIP111710,214376.0,,,,,,,,,,EPIC
HIP111780,214449.0,,,,,,,,,,EPIC
HIP111792,214477.0,,,,,,,,,,EPIC
HIP111822,214529.0,6213.0,338.0,242.0,3.9,0.12,0.1,0.016,0.15,0.18,EPIC
HIP111843,214572.0,6020.0,136.0,273.0,3.829,0.07,0.07,-0.026,0.12,0.27,EPIC
HIP111915,214722.0,5621.0,607.0,276.0,3.653,0.14,0.12,0.004,0.08,0.2,EPIC
HIP111931,214723.0,,,,,,,,,,EPIC
HIP112019,214887.0,,,,,,,,,,EPIC
HIP112409,215542.0,,,,,,,,,,EPIC
HIP112799,216144.0,,,,,,,,,,EPIC
HIP113008,,,,,,,,,,,EPIC
HIP113106,216614.0,,,,,,,,,,EPIC
HIP113123,216626.0,,,,,,,,,,EPIC
HIP113199,216738.0,,,,,,,,,,EPIC
HIP113279,216834.0,,,,,,,,,,EPIC
HIP113345,216953.0,,,,,,,,,,EPIC
HIP113478,217188.0,,,,,,,,,,EPIC
HIP113521,217264.0,,,,,,,,,,EPIC
HIP113523,217248.0,,,,,,,,,,EPIC
HIP113611,217410.0,,,,,,,,,,EPIC
HIP113709,217572.0,4810.0,95.0,76.0,2.793,0.065,0.273,0.021,0.12,0.27,EPIC
HIP113723,217591.0,4833.0,96.0,77.0,3.157,0.12,0.12,-0.104,0.16,0.28,EPIC
HIP113736,217623.0,4822.0,116.0,116.0,2.448,0.3,0.075,-0.18,0.25,0.35,EPIC
HIP113805,,,,,,,,,,,EPIC
HIP113879,217876.0,,,,,,,,,,EPIC
HIP114005,218103.0,,,,,,,,,,EPIC
HIP114079,218210.0,4802.0,74.0,74.0,2.582,0.216,0.216,-0.083,0.15,0.21,EPIC
HIP114148,218330.0,,,,,,,,,,EPIC
HIP114202,218383.0,4844.0,78.0,78.0,2.352,0.065,0.13,-0.831,0.35,0.25,EPIC
HIP114218,218399.0,,,,,,,,,,EPIC
HIP114273,218527.0,,,,,,,,,,EPIC
HIP114284,218528.0,,,,,,,,,,EPIC
HIP114310,218553.0,4714.0,56.0,75.0,2.96,0.078,0.065,0.057,0.21,0.15,EPIC
HIP114380,218676.0,6291.0,186.0,149.0,3.676,0.035,0.042,0.058,0.1,0.1,EPIC
HIP114419,218731.0,,,,,,,,,,EPIC
HIP114493,218846.0,,,,,,,,,,EPIC
HIP114510,218883.0,,,,,,,,,,EPIC
HIP114521,218907.0,6497.0,269.0,269.0,4.016,0.065,0.078,0.014,0.12,0.18,EPIC
HIP114567,218968.0,4783.0,145.0,145.0,2.435,0.247,0.065,-0.225,0.25,0.35,EPIC
HIP114603,219066.0,4764.0,94.0,113.0,2.628,0.185,0.222,-0.046,0.15,0.24,EPIC
HIP114795,219349.0,,,,,,,,,,EPIC
HIP114852,,,,,,,,,,,EPIC
HIP114860,219448.0,5109.0,273.0,91.0,2.48,0.198,0.198,-0.922,0.8,0.4,EPIC
HIP114959,219593.0,,,,,,,,,,EPIC
HIP115037,219701.0,6187.0,343.0,245.0,4.048,0.09,0.075,-0.054,0.16,0.24,EPIC
HIP115160,219906.0,,,,,,,,,,EPIC
HIP115301,220119.0,4727.0,75.0,56.0,2.72,0.07,0.126,0.135,0.08,0.08,EPIC
HIP115311,220120.0,,,,,,,,,,EPIC
HIP115464,220385.0,4862.0,96.0,115.0,2.782,0.085,0.357,-0.035,0.12,0.39,EPIC
HIP115491,220435.0,4856.0,98.0,98.0,2.994,0.125,0.15,-0.232,0.25,0.5,EPIC
HIP115572,220554.0,,,,,,,,,,EPIC
HIP115599,220586.0,,,,,,,,,,EPIC
HIP115677,220725.0,4260.0,101.0,67.0,2.081,0.14,0.14,0.172,0.08,0.08,EPIC
HIP115768,220858.0,4833.0,77.0,57.0,2.92,0.13,0.182,-0.255,0.2,0.2,EPIC
HIP115784,220890.0,4842.0,155.0,58.0,1.856,0.52,1.56,-1.276,0.96,0.72,EPIC
HIP115786,220873.0,4670.0,113.0,113.0,2.42,0.12,0.075,-0.149,0.2,0.28,EPIC
HIP115839,220957.0,4987.0,59.0,59.0,2.824,0.192,0.12,-0.793,0.21,0.15,EPIC
HIP115901,221080.0,6308.0,298.0,248.0,3.67,0.055,0.066,0.057,0.12,0.12,EPIC
HIP115909,221091.0,4695.0,111.0,111.0,2.442,0.138,0.115,-0.028,0.15,0.21,EPIC
HIP115953,221148.0,,,,,,,,,,EPIC
HIP115958,221149.0,6303.0,312.0,312.0,3.973,0.065,0.065,-0.008,0.12,0.15,EPIC
HIP115988,221195.0,,,,,,,,,,EPIC
HIP116143,221397.0,4907.0,148.0,118.0,2.458,0.315,0.09,-0.261,0.3,0.42,EPIC
HIP116209,221501.0,6346.0,253.0,253.0,3.824,0.066,0.055,0.025,0.12,0.15,EPIC
HIP116428,221835.0,5048.0,60.0,80.0,2.415,0.042,0.048,-0.628,0.12,0.12,EPIC
HIP116639,222157.0,,,,,,,,,,EPIC
HIP116689,222232.0,6256.0,300.0,250.0,3.951,0.066,0.066,0.022,0.12,0.15,EPIC
HIP117044,222775.0,6586.0,393.0,314.0,3.979,0.075,0.075,0.01,0.12,0.12,EPIC
HIP117274,223115.0,4897.0,59.0,79.0,2.574,0.246,0.205,-0.233,0.2,0.2,EPIC
HIP117438,223336.0,,,,,,,,,,EPIC
HIP117875,224038.0,,,,,,,,,,EPIC
HIP117940,224121.0,,,,,,,,,,EPIC
