HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP18425,285263.0,6526.0,328.0,273.0,3.795,0.21,0.15,-0.008,0.12,0.12,EPIC
HIP18443,286365.0,6290.0,221.0,184.0,4.1,0.185,0.222,-0.097,0.15,0.3,EPIC
HIP18576,24961.0,6132.0,149.0,149.0,3.764,0.055,0.077,0.027,0.08,0.12,EPIC
HIP18730,25203.0,4886.0,77.0,77.0,2.998,0.12,0.14,-0.114,0.12,0.48,EPIC
HIP18762,25230.0,,,,,,,,,,EPIC
HIP18803,,4817.0,116.0,146.0,2.575,0.222,0.185,-0.041,0.15,0.24,EPIC
HIP18823,285305.0,6310.0,194.0,233.0,3.829,0.15,0.125,-0.022,0.1,0.1,EPIC
HIP18864,25391.0,6268.0,241.0,241.0,3.964,0.12,0.12,0.009,0.12,0.18,EPIC
HIP18995,25532.0,5560.0,512.0,55.0,2.536,0.02,2.019,-1.246,0.82,0.05,EPIC
HIP19038,25604.0,,,,,,,,,,EPIC
HIP19075,,4283.0,104.0,131.0,1.847,0.204,0.17,-0.069,0.15,0.18,EPIC
HIP19221,25959.0,6904.0,507.0,362.0,3.737,0.174,0.145,0.023,0.12,0.1,EPIC
HIP19361,26116.0,4734.0,75.0,56.0,2.869,0.138,0.115,-0.091,0.15,0.15,EPIC
HIP19388,26162.0,,,,,,,,,,EPIC
HIP19459,283433.0,6049.0,179.0,179.0,3.838,0.08,0.112,0.048,0.12,0.15,EPIC
HIP19499,285513.0,,,,,,,,,,EPIC
HIP19558,284194.0,,,,,,,,,,EPIC
HIP19634,26514.0,4881.0,77.0,58.0,2.727,0.144,0.336,-0.131,0.15,0.33,EPIC
HIP19702,284242.0,7528.0,584.0,487.0,3.664,0.208,0.13,-0.005,0.12,0.1,EPIC
HIP20181,27310.0,6693.0,502.0,358.0,3.625,0.15,0.075,0.077,0.08,0.14,EPIC
HIP20197,27372.0,4875.0,58.0,58.0,3.415,0.085,0.238,0.027,0.08,0.16,EPIC
HIP20604,283660.0,6628.0,403.0,403.0,3.726,0.24,0.06,-0.054,0.06,0.12,EPIC
HIP20782,,5954.0,178.0,178.0,3.981,0.075,0.075,-0.164,0.16,0.4,EPIC
HIP20877,28292.0,,,,,,,,,,EPIC
HIP21318,28966.0,,,,,,,,,,EPIC
HIP21347,28975.0,7155.0,2132.0,609.0,3.556,0.168,0.196,0.077,0.08,0.14,EPIC
HIP21359,29038.0,4775.0,75.0,75.0,2.922,0.234,0.195,-0.107,0.15,0.18,EPIC
HIP21399,29097.0,,,,,,,,,,EPIC
HIP21403,29103.0,6468.0,233.0,155.0,4.082,0.085,0.085,0.023,0.12,0.12,EPIC
HIP21408,29104.0,5863.0,307.0,307.0,3.222,0.126,0.693,0.135,0.08,1.24,EPIC
HIP21551,284572.0,6830.0,1816.0,648.0,3.69,0.095,0.152,0.0,0.1,0.1,EPIC
